,Feature,Winnings,Wins,Ranking
1,FirstServe,0.05788214662085208,0.06483207778247921,-0.06875861131845683
2,FirstServePointsWon,0.36112105949289974,0.3567016288756446,-0.15000394867000427
3,FirstServeReturnPointsWon,0.24080834046115288,0.25602899947226415,-0.17866426231103438
4,SecondServePointsWon,0.2812148088288473,0.2689786995380068,-0.18101292289365323
5,SecondServeReturnPointsWon,0.19940129736079046,0.1930926629388326,-0.1595921118461223
6,Aces,0.7984043540699404,0.8253011922488656,-0.2778112907404095
7,BreakPointsConverted,0.07502218831566927,0.07698919220342929,-0.051005104239102636
8,BreakPointsFaced,0.8760356989199072,0.8834699298437789,-0.32208209803052423
9,BreakPointsOpportunities,0.9004439010037795,0.9234533173669724,-0.3345483369412154
10,BreakPointsSaved,0.2582707718865988,0.2520527701433836,-0.12121964367708192
11,DoubleFaults,0.8546851784438947,0.8474593354009959,-0.30586627236039937
12,ReturnGamesPlayed,0.9126126236635055,0.9284076225806646,-0.33147813720669367
13,ReturnGamesWon,0.2796450565493094,0.29292017195818737,-0.1912803195874613
14,ReturnPointsWon,0.2716459071831737,0.28023972812886105,-0.20259689135777276
15,ServiceGamesPlayed,0.9129849378413334,0.9291525358241288,-0.33173802870082236
16,ServiceGamesWon,0.39557717398518866,0.3850403464836889,-0.19882221990394192
17,TotalPointsWon,0.46106082878125043,0.45936836841910705,-0.2720071941747376
18,TotalServicePointsWon,0.4077070018393843,0.3992703561393277,-0.20835506744437224
